name,mfr,calories,%DV calories,cal,protein,%DV protein,pro,fat,%DV fat,fat1,sodium,%DV sodium,sod,fiber,%DV fiber,fib,carbo,%DV carbo,carb,sugars,%DV sugars,sug,potass,%DV potass,pot,cups,rating,veg,pf,gf
All-Bran,K,70,3.5,LOW,4,8,MEDIUM,1,1.28,LOW,260,11.3,MEDIUM,9,32.14,HIGH,7,2.55,LOW,5,10,MEDIUM,320,6.81,MEDIUM,0.33,4.8,,,
Apple Cinnamon Cheerios,G,110,5.5,MEDIUM,2,4,LOW,2,2.56,LOW,180,7.83,MEDIUM,1.5,5.36,MEDIUM,10.5,3.82,LOW,10,20,MEDIUM,70,1.49,LOW,0.75,4.7,,,
Apple Jacks,K,110,5.5,MEDIUM,2,4,LOW,0,0,LOW,125,5.43,MEDIUM,1,3.57,LOW,11,4,LOW,14,28,HIGH,30,0.64,LOW,1,4.5,,,
Basic 4,G,130,6.5,MEDIUM,3,6,MEDIUM,2,2.56,LOW,210,9.13,MEDIUM,2,7.14,MEDIUM,18,6.55,MEDIUM,8,16,MEDIUM,100,2.13,LOW,0.75,4.5,,,
Cap'n Crunch,Q,120,6,MEDIUM,1,2,LOW,2,2.56,LOW,220,9.57,MEDIUM,0,0,LOW,12,4.36,LOW,12,24,HIGH,35,0.74,LOW,0.75,4.9,,,
Cheerios,G,110,5.5,MEDIUM,6,12,MEDIUM,2,2.56,LOW,290,12.61,MEDIUM,2,7.14,MEDIUM,17,6.18,MEDIUM,1,2,LOW,105,2.23,LOW,1.25,4.7,,,
Cinnamon Toast Crunch,G,120,6,MEDIUM,1,2,LOW,3,3.85,LOW,210,9.13,MEDIUM,0,0,LOW,13,4.73,LOW,9,18,MEDIUM,45,0.96,LOW,0.75,4.8,,,
Cocoa Puffs,G,110,5.5,MEDIUM,1,2,LOW,1,1.28,LOW,180,7.83,MEDIUM,0,0,LOW,12,4.36,LOW,13,26,HIGH,55,1.17,LOW,1,4.8,,,
Corn Flakes,K,100,5,MEDIUM,2,4,LOW,0,0,LOW,290,12.61,MEDIUM,1,3.57,LOW,21,7.64,MEDIUM,2,4,LOW,35,0.74,LOW,1,4.9,,,
Corn Pops,K,110,5.5,MEDIUM,1,2,LOW,0,0,LOW,90,3.91,LOW,1,3.57,LOW,13,4.73,LOW,12,24,HIGH,20,0.43,LOW,1,4.6,,,
Cracklin' Oat Bran,K,110,5.5,MEDIUM,3,6,MEDIUM,3,3.85,LOW,140,6.09,MEDIUM,4,14.29,MEDIUM,10,3.64,LOW,7,14,MEDIUM,160,3.4,LOW,0.5,4.7,,,
Crispix,K,110,5.5,MEDIUM,2,4,LOW,0,0,LOW,220,9.57,MEDIUM,1,3.57,LOW,21,7.64,MEDIUM,3,6,MEDIUM,30,0.64,LOW,1,4.7,,,
Froot Loops,K,110,5.5,MEDIUM,2,4,LOW,1,1.28,LOW,125,5.43,MEDIUM,1,3.57,LOW,11,4,LOW,13,26,HIGH,30,0.64,LOW,1,4.8,,,
Frosted Flakes,K,110,5.5,MEDIUM,1,2,LOW,0,0,LOW,200,8.7,MEDIUM,1,3.57,LOW,14,5.09,MEDIUM,11,22,HIGH,25,0.53,LOW,0.75,4.8,,,
Frosted Mini Wheats,K,100,5,MEDIUM,3,6,MEDIUM,0,0,LOW,0,0,LOW,3,10.71,MEDIUM,14,5.09,MEDIUM,7,14,MEDIUM,100,2.13,LOW,0.8,4.8,,,
Fruity Pebbles,P,110,5.5,MEDIUM,1,2,LOW,1,1.28,LOW,135,5.87,MEDIUM,0,0,LOW,13,4.73,LOW,12,24,HIGH,25,0.53,LOW,0.75,4,,,
Golden Grahams,G,110,5.5,MEDIUM,1,2,LOW,1,1.28,LOW,280,12.17,MEDIUM,0,0,LOW,15,5.45,MEDIUM,9,18,MEDIUM,45,0.96,LOW,0.75,4.5,,,
Grape Nuts Flakes,P,100,5,MEDIUM,3,6,MEDIUM,1,1.28,LOW,140,6.09,MEDIUM,3,10.71,MEDIUM,15,5.45,MEDIUM,5,10,MEDIUM,85,1.81,LOW,0.88,4.9,,,
Great Grains Pecan,P,120,6,MEDIUM,3,6,MEDIUM,3,3.85,LOW,75,3.26,LOW,3,10.71,MEDIUM,13,4.73,LOW,4,8,MEDIUM,100,2.13,LOW,0.33,4.7,,,
Honey Graham Ohs,Q,120,6,MEDIUM,1,2,LOW,2,2.56,LOW,220,9.57,MEDIUM,1,3.57,LOW,12,4.36,LOW,11,22,HIGH,45,0.96,LOW,1,4.7,,,
Honey Nut Cheerios,G,110,5.5,MEDIUM,3,6,MEDIUM,1,1.28,LOW,250,10.87,MEDIUM,1.5,5.36,MEDIUM,11.5,4.18,LOW,10,20,MEDIUM,90,1.91,LOW,0.75,4.9,,,
Honey-comb,P,110,5.5,MEDIUM,1,2,LOW,0,0,LOW,180,7.83,MEDIUM,0,0,LOW,14,5.09,MEDIUM,11,22,HIGH,35,0.74,LOW,1.33,4.6,,,
Kix,G,110,5.5,MEDIUM,2,4,LOW,1,1.28,LOW,260,11.3,MEDIUM,0,0,LOW,21,7.64,MEDIUM,3,6,MEDIUM,40,0.85,LOW,1.5,4.8,,,
Life,Q,100,5,MEDIUM,4,8,MEDIUM,2,2.56,LOW,150,6.52,MEDIUM,2,7.14,MEDIUM,12,4.36,LOW,6,12,MEDIUM,95,2.02,LOW,0.67,4.5,,,
Lucky Charms,G,110,5.5,MEDIUM,2,4,LOW,1,1.28,LOW,180,7.83,MEDIUM,0,0,LOW,12,4.36,LOW,12,24,HIGH,55,1.17,LOW,1,4.7,,,
Multi-Grain Cheerios,G,100,5,MEDIUM,2,4,LOW,1,1.28,LOW,220,9.57,MEDIUM,2,7.14,MEDIUM,15,5.45,MEDIUM,6,12,MEDIUM,90,1.91,LOW,1,4.7,,,
Raisin Bran,K,120,6,MEDIUM,3,6,MEDIUM,1,1.28,LOW,210,9.13,MEDIUM,5,17.86,MEDIUM,14,5.09,MEDIUM,12,24,HIGH,240,5.11,MEDIUM,0.75,4.8,,,
Raisin Nut Bran,G,100,5,MEDIUM,3,6,MEDIUM,2,2.56,LOW,140,6.09,MEDIUM,2.5,8.93,MEDIUM,10.5,3.82,LOW,8,16,MEDIUM,140,2.98,LOW,0.5,4.8,,,
Rice Chex,G,110,5.5,MEDIUM,1,2,LOW,0,0,LOW,240,10.43,MEDIUM,0,0,LOW,23,8.36,MEDIUM,2,4,LOW,30,0.64,LOW,1.13,4.9,,,
Rice Krispies,K,110,5.5,MEDIUM,2,4,LOW,0,0,LOW,290,12.61,MEDIUM,0,0,LOW,22,8,MEDIUM,3,6,MEDIUM,35,0.74,LOW,1,4.7,,,
Special K,K,110,5.5,MEDIUM,6,12,MEDIUM,0,0,LOW,230,10,MEDIUM,1,3.57,LOW,16,5.82,MEDIUM,3,6,MEDIUM,55,1.17,LOW,1,4.5,,,
Total Whole Grain,G,100,5,MEDIUM,3,6,MEDIUM,1,1.28,LOW,200,8.7,MEDIUM,3,10.71,MEDIUM,16,5.82,MEDIUM,3,6,MEDIUM,110,2.34,LOW,1,4.7,,,
Trix,G,110,5.5,MEDIUM,1,2,LOW,1,1.28,LOW,140,6.09,MEDIUM,0,0,LOW,13,4.73,LOW,12,24,HIGH,25,0.53,LOW,1,4.9,,,
Wheat Chex,G,100,5,MEDIUM,3,6,MEDIUM,1,1.28,LOW,230,10,MEDIUM,3,10.71,MEDIUM,17,6.18,MEDIUM,3,6,MEDIUM,115,2.45,LOW,0.67,4.7,,,
Wheaties,G,100,5,MEDIUM,3,6,MEDIUM,1,1.28,LOW,200,8.7,MEDIUM,3,10.71,MEDIUM,17,6.18,MEDIUM,3,6,MEDIUM,110,2.34,LOW,1,5,,,
Corn Chex,G,110,5.5,MEDIUM,2,4,LOW,0,0,LOW,280,12.17,MEDIUM,0,0,LOW,22,8,MEDIUM,3,6,MEDIUM,25,0.53,LOW,1,4.7,,,
Frosted Cheerios,G,140,7,MEDIUM,3,6,MEDIUM,1.5,1.92,LOW,200,8.7,MEDIUM,3,10.71,MEDIUM,29,10.55,MEDIUM,12,24,HIGH,0,0,LOW,1,4.8,,,
Honey Nut Cheerios Medley Crunch,G,120,6,MEDIUM,4,8,MEDIUM,1.5,1.92,LOW,120,5.22,MEDIUM,4,14.29,MEDIUM,25,9.09,MEDIUM,9,18,MEDIUM,110,2.34,LOW,0.75,4.9,,,
Multi Grain Cheerios with Strawberries,G,140,7,MEDIUM,3,6,MEDIUM,1.5,1.92,LOW,110,4.78,LOW,4,14.29,MEDIUM,32,11.64,MEDIUM,8,16,MEDIUM,190,4.04,LOW,1.3,4.5,,,
Chocolate Cheerios,G,140,7,MEDIUM,3,6,MEDIUM,2,2.56,LOW,210,9.13,MEDIUM,3,10.71,MEDIUM,28,10.18,MEDIUM,11,22,HIGH,170,3.62,LOW,1,4.7,,,
Cinnamon Cheerios,G,140,7,MEDIUM,3,6,MEDIUM,3,3.85,LOW,150,6.52,MEDIUM,3,10.71,MEDIUM,29,10.55,MEDIUM,12,24,HIGH,0,0,LOW,1,4.9,,,
Blueberry Cheerios,G,140,7,MEDIUM,3,6,MEDIUM,2,2.56,LOW,170,7.39,MEDIUM,3,10.71,MEDIUM,29,10.55,MEDIUM,10,20,MEDIUM,0,0,LOW,1,4.3,,,
Chocolate Strawberry Cheerios,G,140,7,MEDIUM,3,6,MEDIUM,2,2.56,LOW,180,7.83,MEDIUM,3,10.71,MEDIUM,29,10.55,MEDIUM,11,22,HIGH,130,2.77,LOW,1,4.3,,,
Peanut Butter Chocolate Cheerios,G,150,7.5,MEDIUM,4,8,MEDIUM,4.5,5.77,MEDIUM,230,10,MEDIUM,3,10.71,MEDIUM,25,9.09,MEDIUM,9,18,MEDIUM,160,3.4,LOW,1,4.6,,,
Very Berry Cheerios,G,140,7,MEDIUM,3,6,MEDIUM,2,2.56,LOW,170,7.39,MEDIUM,3,10.71,MEDIUM,29,10.55,MEDIUM,11,22,HIGH,140,2.98,LOW,1,4.8,,,
Cheerios Oat Crunch Cinnamon,G,230,11.5,MEDIUM,4,8,MEDIUM,5,6.41,MEDIUM,230,10,MEDIUM,4,14.29,MEDIUM,42,15.27,MEDIUM,15,30,HIGH,160,3.4,LOW,1,4.8,,,
Apple Jacks Caramel,K,150,7.5,MEDIUM,2,4,LOW,0.5,0.64,LOW,200,8.7,MEDIUM,2,7.14,MEDIUM,34,12.36,MEDIUM,15,30,HIGH,50,1.06,LOW,1.3,4.4,,,
Cap'n Crunch Peanut Butter Crunch,Q,170,8.5,MEDIUM,3,6,MEDIUM,3.5,4.49,LOW,300,13.04,MEDIUM,1,3.57,LOW,32,11.64,MEDIUM,13,26,HIGH,70,1.49,LOW,1,4.5,,,
Cap'n Crunch Oops All Berries,Q,150,7.5,MEDIUM,2,4,LOW,1.5,1.92,LOW,200,8.7,MEDIUM,0,0,LOW,33,12,MEDIUM,17,34,HIGH,0,0,LOW,1.25,4.4,,,
Frosted Mini Wheats Chocolate,K,200,10,MEDIUM,5,10,MEDIUM,2,2.56,LOW,220,9.57,MEDIUM,6,21.43,HIGH,45,16.36,MEDIUM,12,24,HIGH,280,5.96,MEDIUM,1,4.8,,,
Frosted Mini Wheats Strawberry,K,190,9.5,MEDIUM,5,10,MEDIUM,1,1.28,LOW,0,0,LOW,6,21.43,HIGH,47,17.09,MEDIUM,12,24,HIGH,190,4.04,LOW,0.75,4.2,,,
"Great Grains Selects Cereal Raisins, Dates and Pecans",P,200,10,MEDIUM,4,8,MEDIUM,4,5.13,MEDIUM,140,6.09,MEDIUM,5,17.86,MEDIUM,40,14.55,MEDIUM,13,26,HIGH,210,4.47,LOW,0.75,4.6,,,
Great Grains Cranberry Almond Crunch,P,210,10.5,MEDIUM,5,10,MEDIUM,3,3.85,LOW,200,8.7,MEDIUM,5,17.86,MEDIUM,44,16,MEDIUM,12,24,HIGH,180,3.83,LOW,1,4.7,,,
Great Grains Banana Nut Crunch,P,230,11.5,MEDIUM,6,12,MEDIUM,4.5,5.77,MEDIUM,220,9.57,MEDIUM,7,25,HIGH,45,16.36,MEDIUM,10,20,MEDIUM,220,4.68,LOW,1,4.7,,,
Honey Maid S'more's,P,160,8,MEDIUM,1,2,LOW,3.5,4.49,LOW,270,11.74,MEDIUM,1,3.57,LOW,33,12,MEDIUM,17,34,HIGH,70,1.49,LOW,1,4.9,,,
Raisin Bran Crunch,K,190,9.5,MEDIUM,4,8,MEDIUM,1,1.28,LOW,200,8.7,MEDIUM,4,14.29,MEDIUM,45,16.36,MEDIUM,19,38,HIGH,0,0,LOW,1,4.8,,,
Cinnamon Chex,G,170,8.5,MEDIUM,2,4,LOW,4,5.13,MEDIUM,250,10.87,MEDIUM,2,7.14,MEDIUM,33,12,MEDIUM,8,16,MEDIUM,0,0,LOW,1,4.9,,,
Peanut Butter Chex,G,170,8.5,MEDIUM,3,6,MEDIUM,4.5,5.77,MEDIUM,270,11.74,MEDIUM,2,7.14,MEDIUM,31,11.27,MEDIUM,9,18,MEDIUM,100,2.13,LOW,1,4.9,,,
Chocolate Chex,G,180,9,MEDIUM,2,4,LOW,3.5,4.49,LOW,270,11.74,MEDIUM,2,7.14,MEDIUM,36,13.09,MEDIUM,11,22,HIGH,100,2.13,LOW,1,4.7,,,
Cap'n Crunch Crunch Berries,Q,100,5,MEDIUM,1,2,LOW,1.5,1.92,LOW,190,8.26,MEDIUM,1,3.57,LOW,9,3.27,LOW,11,22,HIGH,50,1.06,LOW,0.75,4.5,,,
Reese's Puffs,G,120,6,MEDIUM,2,4,LOW,3,3.85,LOW,160,6.96,MEDIUM,1,3.57,LOW,12,4.36,LOW,9,18,MEDIUM,70,1.49,LOW,0.75,4.9,,,
Nature's Path Gluten Free Crunchy Vanilla,N,150,7.5,MEDIUM,2,4,LOW,0,0,LOW,190,8.26,MEDIUM,4,14.29,MEDIUM,34,12.36,MEDIUM,9,18,MEDIUM,85,1.81,LOW,0.75,4.6,,,
Nature's Path Flax Plus Organic Pumpkin Flax Granola,N,260,13,MEDIUM,6,12,MEDIUM,10,12.82,MEDIUM,45,1.96,LOW,5,17.86,MEDIUM,37,13.45,MEDIUM,10,20,MEDIUM,184,3.91,LOW,0.25,4.6,,,
Nature's Path Envirokidz Panda Puffs,N,130,6.5,MEDIUM,2,4,LOW,3.5,4.49,LOW,125,5.43,MEDIUM,2,7.14,MEDIUM,23,8.36,MEDIUM,7,14,MEDIUM,0,0,LOW,0.75,4.6,,,
Cookie Crisp,G,140,7,MEDIUM,2,4,LOW,1.5,1.92,LOW,150,6.52,MEDIUM,2,7.14,MEDIUM,31,11.27,MEDIUM,12,24,HIGH,0,0,LOW,1,4.6,,,
Krave,K,170,8.5,MEDIUM,3,6,MEDIUM,4.5,5.77,MEDIUM,140,6.09,MEDIUM,2,7.14,MEDIUM,32,11.64,MEDIUM,15,30,HIGH,110,2.34,LOW,1,4.4,,,
Oreo O's,P,160,8,MEDIUM,1,2,LOW,1.5,1.92,LOW,150,6.52,MEDIUM,3,10.71,MEDIUM,25,9.09,MEDIUM,13,26,HIGH,45,0.96,LOW,1,4.8,,,
Special K Red Berries,K,140,7,MEDIUM,3,6,MEDIUM,0.5,0.64,LOW,250,10.87,MEDIUM,3,10.71,MEDIUM,43,15.64,MEDIUM,21,42,HIGH,360,7.66,MEDIUM,1.25,4.7,,,
Special K Chocolately Delight,K,170,8.5,MEDIUM,3,6,MEDIUM,3,3.85,LOW,250,10.87,MEDIUM,3,10.71,MEDIUM,34,12.36,MEDIUM,13,26,HIGH,120,2.55,LOW,1,4.7,,,
Special K Fruit and Yogurt,K,160,8,MEDIUM,3,6,MEDIUM,1,1.28,LOW,190,8.26,MEDIUM,3,10.71,MEDIUM,36,13.09,MEDIUM,13,26,HIGH,90,1.91,LOW,1,4.8,,,
Special K Vanilla Almond,K,150,7.5,MEDIUM,3,6,MEDIUM,1.5,1.92,LOW,220,9.57,MEDIUM,3,10.71,MEDIUM,33,12,MEDIUM,11,22,HIGH,100,2.13,LOW,1,4.8,,,
Special K Original,K,150,7.5,MEDIUM,7,14,MEDIUM,0.5,0.64,LOW,270,11.74,MEDIUM,1,3.57,LOW,29,10.55,MEDIUM,5,10,MEDIUM,10,0.21,LOW,1.25,4.5,,,
Special K Blueberry Lemon Clusters,K,150,7.5,MEDIUM,3,6,MEDIUM,1,1.28,LOW,260,11.3,MEDIUM,3,10.71,MEDIUM,35,12.73,MEDIUM,12,24,HIGH,100,2.13,LOW,1,4.5,,,
Honey Bunches of Oats Honey Roasted Oat,P,120,6,MEDIUM,2,4,LOW,1.5,1.92,LOW,135,5.87,MEDIUM,2,7.14,MEDIUM,25,9.09,MEDIUM,6,12,MEDIUM,55,1.17,LOW,0.75,4.8,,,
Honey Bunches of Oats with Almonds,P,170,8.5,MEDIUM,3,6,MEDIUM,3,3.85,LOW,180,7.83,MEDIUM,34,121.43,HIGH,2,0.73,LOW,9,18,MEDIUM,80,1.7,LOW,1,4.5,,,
Honey Bunches of Oats Frosted,P,160,8,MEDIUM,2,4,LOW,2,2.56,LOW,180,7.83,MEDIUM,2,7.14,MEDIUM,34,12.36,MEDIUM,11,22,HIGH,30,0.64,LOW,1,4.8,,,
Fiber One Original Bran,G,90,4.5,LOW,3,6,MEDIUM,1,1.28,LOW,140,6.09,MEDIUM,18,64.29,HIGH,34,12.36,MEDIUM,0,0,LOW,0,0,LOW,0.66,4.7,,,
Fiber One Honey Clusters,G,170,8.5,MEDIUM,4,8,MEDIUM,1.5,1.92,LOW,200,8.7,MEDIUM,10,35.71,HIGH,45,16.36,MEDIUM,10,20,MEDIUM,0,0,LOW,1,5,,,
